N,Title,Keywords,Abstract,Reference,Doi
3047,Clinical outcome following anterior cervical discectomy and fusion with and without anterior cervical plating for the treatment of cervical disc herniation-a 25-year follow-up study,"Adult; Aged; Aged, 80 and over; Bone Plates; Cervical Vertebrae; Diskectomy; Female; Follow-Up Studies; Humans; Ilium/transplantation; Intervertebral Disc Displacement/surgery; Male; Middle Aged; Quality of Life; Recovery of Function; Retrospective Studies; Spinal Fusion/methods; Time Factors; Treatment Outcome; ACDF; Adjacent segment disease; Cervical disc herniation; Cervical plate; Clinical outcome, long-term follow-up","Extreme long-term clinical outcome studies following anterior cervical discectomy and fusion (ACDF) with an autologous iliac crest with and without Caspar plating (ACDF + CP) for the treatment of radiculopathy caused by cervical disc herniation (CDH) are extremely rare. Hospital records of patients who underwent ACDF or ACDF + CP for the treatment of CDH at least 17 years ago were reviewed Information about diagnosis, surgery, pre- and postoperative clinical process, and repeated procedure was analyzed. At final follow-up, patients were reviewed with a standardized questionnaire including the current neurological status, Neck Disability Index (NDI), Odom's criteria, a modified EQ-5D, and limitations in quality of life. One hundred twenty-two patients with a mean follow-up of 25 years were evaluated. ACDF was performed in 80 and ACDF + CP in 42 patients, respectively. At final follow-up, 81.1% of patients were free of radicular pain and had no repeated procedure. According to Odom's criteria, 86.1% of good to excellent functional recovery was noted. The mean NDI and EQ-5D was 14% and 5 points, respectively. There was no significant difference in the assessed clinical outcome parameters between patients treated with ACDF and ACDF + CP. The rate for repeated procedure due to degenerative cervical disorders was 10.7 and 7.4% due to symptomatic adjacent segment disease with 25 years. ACDF and ACDF + CP achieved a high rate radicular pain relief (89.3%) and clinical success (86.1%) for the treatment of CDH within a 25 years follow-up. No statistical difference concerning clinical outcome and rate of repeated procedure was detected",Neurosurg Rev. 2018 Apr;41(2):473-482,10.1007/s10143-017-0872-6
7158,Mobile Health Self-management Interventions for Patients With Heart Failure: A Pilot Study,Dyspnea; Heart Failure/therapy; Humans; Pilot Projects; Quality of Life; Self-Management; Telemedicine,"BACKGROUND: Heart failure (HF) is a multifaceted syndrome that requires self-management for adherence to treatment to control symptoms. Symptoms need to be monitored to prevent impending HF exacerbations. Few HF study authors have assessed efficacy of mobile health (mHealth) interventions particularly with virtual visits to evaluate outcomes such as symptoms and healthcare utilization OBJECTIVE: The aim of this pilot study was to evaluate the potential effect of mHealth self-management interventions on symptom status and health-related quality of life and describe health care utilization in patients with HF METHODS: This 3-month pilot study included 74 patients with HF and used a randomized 3-group repeated-measures design (enhanced usual care, mHealth, and mHealth plus [+] virtual visits). Surveys included the Heart Failure Symptom Survey, EuroQol, and a specialized phone application for patients to report weights and medications. RESULTS: The mHealth groups had an overall decrease in most symptom severity and frequency, particularly shortness of breath. Compared to enhanced usual care, both the mHealth+ and mHealth groups showed promise with medium effect sizes (range .55-.60) in relation to shortness of breath and a medium effect (.51) for lower extremity edema for the mHealth+ group. There was a trend toward improvement in health-related quality of life in both intervention groups at month 3. The mHealth+ group had fewer rehospitalizations. CONCLUSIONS: In general, both mHealth groups fared better on symptoms and health care utilization. Small to medium effect sizes on selected symptom outcomes warrant this study to be conducted in a fully powered study. Virtual visits may assist in symptom recognition and self-management",J Cardiovasc Nurs. 2022 Sep-Oct 01;37(5):E149-E159,10.1097/JCN.0000000000000846
9505,"Multicentre, double-blind, randomised, sham-controlled trial of 10 khz high-frequency spinal cord stimulation for chronic neuropathic low back pain (MODULATE-LBP): a trial protocol","Chronic Pain/economics/physiopathology/therapy; Cost-Benefit Analysis; Double-Blind Method; Health Care Costs; Humans; Low Back Pain/economics/physiopathology/therapy; Neuralgia/economics/physiopathology/therapy; Quality-Adjusted Life Years; Spinal Cord Stimulation/economics/methods; Treatment Outcome; Spinal cord stimulation, Neuropathic pain, Chronic neuropathic low back pain,","INTRODUCTION: Chronic neuropathic low back pain (CNLBP) is a debilitating condition in which established medical treatments seldom alleviate symptoms Evidence demonstrates that high-frequency 10 kHz spinal cord stimulation (SCS) reduces pain and improves health-related quality of life in patients with failed back surgery syndrome (FBSS), but evidence of this effect is limited in individuals with CNLBP who have not had surgery. The aim of this multicentre randomised trial is to assess the clinical and cost-effectiveness of 10 kHz SCS for this population. METHODS: This is a multicentre, double-blind, randomised, sham-controlled trial with a parallel economic evaluation. A total of 96 patients with CNLBP who have not had spinal surgery will be implanted with an epidural lead and a sham lead outside the epidural space without a screening trial Patients will be randomised 1:1 to 10 kHz SCS plus usual care (intervention group) or to sham 10 kHz SCS plus usual care (control group) after receiving the full implant. The SCS devices will be programmed identically using a cathodal cascade. Participants will use their handheld programmer to alter the intensity of the stimulation as per routine practice. The primary outcome will be a 7-day daily pain diary. Secondary outcomes include the Oswestry Disability Index, complications, EQ-5D-5 L, and health and social care costs. Outcomes will be assessed at baseline (pre-randomisation) and at 1 month, 3 months and 6 months after device activation. The primary analyses will compare primary and secondary outcomes between groups at 6 months, while adjusting for baseline outcome scores Incremental cost per quality-adjusted life year (QALY) will be calculated at 6 months and over the lifetime of the patient. DISCUSSION: The outcomes of this trial will inform clinical practice and healthcare policy on the role of high-frequency 10 kHz SCS for use in patients with CNLBP who have not had surgery. TRIAL REGISTRATION: Clinicaltrials.gov, NCT03470766. Registered on 20 March 2018. DISCLAIMER: The views expressed here are those of the authors and not necessarily those of the NHS, the NIHR or the Department of Health. The NIHR had no role in the study design, writing of the manuscript or the decision to submit for publication. ROLES AND RESPONSIBILITIES: AK, SP, DP, SW, RST, AC, SE, LM, RD and JF all contributed to the trial design and to securing trial funding. AK, JR, SP, DP, and SE are involved in the recruitment, the intervention and the follow-up. SW will perform data collection and analysis. RST will be responsible for the statistical analysis, and RD will be responsible for the health economic analysis. All authors read and approved the final manuscript",Trials. 2020 Jan 28;21(1):111,10.1186/s13063-019-3831-4
10531,"A simple visual analog scale for pain is as responsive as the WOMAC, the SF-36, and the EQ-5D in measuring outcomes of revision hip arthroplasty","Aged; Aged, 80 and over; Arthralgia/diagnosis/etiology; Arthroplasty, Replacement, Hip; Cohort Studies; Female; Humans; Male; Middle Aged; Osteoarthritis, Hip/surgery; Pain Measurement/statistics & numerical data; Patient Outcome Assessment; Prospective Studies; Prosthesis Failure/adverse effects; Quality of Life; Reoperation/adverse effects; Reproducibility of Results; Treatment Outcome","BACKGROUND AND PURPOSE: Little is known about the comparative performance of patient-reported outcome measures in revision hip arthroplasty. We compared the performance of the WOMAC, the SF-36, the EQ-5D, and a pain-related visual analog scale (VAS) in revision hip arthroplasty. METHODS: 45 patients with aseptic prosthetic loosening following primary hip arthroplasty completed the WOMAC, the SF-36, the EQ-5D, and a VAS for pain-at baseline and 2 years after revision Responsiveness of the measures was compared with the effect size (with ≥ 0.8 being considered large). Agreement between scales measuring the same type of outcome (pain or physical function) was assessed with the Bland-Altman method RESULTS: The mean preoperative scores for the pain and physical function scales of WOMAC and SF-36, EQ-5D index, and VAS for pain improved statistically significantly 2 years after revision. The effect size for the WOMAC pain was 1.7, that for SF-36 pain was 1.4, that for WOMAC physical function was 1.6, that for SF-36 physical function was 0.8, and that for EQ-5D index was 1.2. The VAS for pain had an effect size of 2.1, which was larger than that for SF-36 pain and for the EQ-5D index (p ≤ 0.03) but not for WOMAC pain (p = 0.2). The limits of agreement between WOMAC pain, SF-36 pain, and the VAS scale measuring pain-and between the WOMAC and SF-36 scales measuring physical function-were wide Internal-consistency reliability was high for the WOMAC and SF-36 scales but low for the EQ-5D. INTERPRETATION: In patients with first-time revision hip arthroplasty done for aseptic loosening, the WOMAC, SF-36, and EQ-5D showed high responsiveness in measuring patient-reported outcomes and the simple VAS for pain performed equally well",Acta Orthop. 2014 Apr;85(2):128-32,10.3109/17453674.2014.887951
13309,"Adalimumab added to a treat-to-target strategy with methotrexate and intra-articular triamcinolone in early rheumatoid arthritis increased remission rates, function and quality of life. The OPERA Study: an investigator-initiated, randomised, double-blind, parallel-group, placebo-controlled trial","Adalimumab; Adult; Aged; Antibodies, Monoclonal, Humanized/administration & dosage/adverse; Antirheumatic Agents/administration & dosage/adverse effects/therapeutic use; Arthritis, Rheumatoid/drug therapy/physiopathology; Double-Blind Method; Drug Administration Schedule; Drug Therapy, Combination; Female; Humans; Injections, Intra-Articular; Male; Methotrexate/administration & dosage/adverse effects/therapeutic use; Middle Aged; Quality of Life; Remission Induction; Severity of Illness Index; Treatment Outcome; Triamcinolone/administration & dosage/adverse effects/therapeutic use; Corticosteroids; DMARDs (biologic); DMARDs (synthetic); Disease Activity; Early Rheumatoid Arthritis","OBJECTIVES: An investigator-initiated, double-blinded, placebo-controlled, treat-to-target protocol (Clinical Trials:NCT00660647) studied whether adalimumab added to methotrexate and intra-articular triamcinolone as first-line treatment in early rheumatoid arthritis (ERA) increased the frequency of low disease activity (DAS28CRP<3.2) at 12 months. METHODS: In 14 Danish hospital-based clinics, 180 disease-modifying anti-rheumatic drugs (DMARD)-naïve ERA patients (<6 months duration) received methotrexate 7.5 mg/week (increased to 20 mg/week within 2 months) plus adalimumab 40 mg every other week (adalimumab-group, n=89) or methotrexate+placebo-adalimumab (placebo-group, n=91). At all visits, triamcinolone was injected into swollen joints (max. four joints/visit). If low disease activity was not achieved, sulfasalazine 2 g/day and hydroxychloroquine 200 mg/day were added after 3 months, and open-label biologics after 6-9 months Efficacy was assessed primarily on the proportion of patients who reached treatment target (DAS28CRP<3.2). Secondary endpoints included DAS28CRP, remission, Health Assessment Questionnaire (HAQ), EQ-5D and SF-12. Analysis was by intention-to-treat with last observation carried forward. RESULTS: Baseline characteristics were similar between groups. In the adalimumab group/placebo group the 12-month cumulative triamcinolone doses were 5.4/7.0 ml (p=0.08) Triple therapy was applied in 18/27 patients (p=0.17). At 12 months, DAS28CRP<3.2 was reached in 80%/76% (p=0.65) and DAS28CRP was 2.0 (1.7-5.2) (medians (5th/95th percentile ranges)), versus 2.6 (1.7-4.7) (p=0.009). Remission rates were: DAS28CRP<2.6: 74%/49%, Clinical Disease Activity Index≤2.8: 61%/41%, Simplified Disease Activity Index<3.3: 57%/37%, European League Against Rheumatism/American College of Rheumatology Boolean: 48%/30% (0.0008<p<0.014, number-needed-to-treat: 4.0-5.4). Twelve months HAQ, SF12PCS and EQ-5D improvements were most pronounced in the adalimumab group. Treatments were well tolerated. CONCLUSIONS: Adalimumab added to methotrexate and intra-articular triamcinolone as first-line treatment did not increase the proportion of patients who reached the DAS28CRP<3.2 treatment target, but improved DAS28CRP, remission rates, function and quality of life in DMARD-naïve ERA",Ann Rheum Dis. 2014 Apr;73(4):654-61,10.1136/annrheumdis-2012-202735
12361,Valuation of transfusion-free living in MDS: results of health utility interviews with patients,"Adult; Aged; Aged, 80 and over; Blood Transfusion/psychology/statistics & numerical data; Europe; Female; Humans; Interviews as Topic; Male; Middle Aged; Myelodysplastic Syndromes/therapy; Pain Measurement; Quality of Life","BACKGROUND: This study measured how myelodysplastic syndrome (MDS) patients value transfusion independence (TI), reduced transfusions (RT) and transfusion-dependence (TD) using health utility assessment methodology. METHODS: 47 MDS patients were interviewed, US (n = 8), France (n = 9), Germany (n = 9) and the UK (n = 21), to elicit the utility value of TI, RT and TD. Health states were developed based on literature; patient forum discussions; and were validated by a hematologist. Face-to-face interviews used the feeling thermometer Visual Analogue Scale (VAS) and the Time Trade-Off (TTO) method to value the health states on a 0 (dead) to 1 (perfect health) scale. Socio-demographic, clinical, and quality-of-life (EQ-5D) characteristics were surveyed to describe the patient sample. RESULTS AND DISCUSSION: The mean age was 67 years (range: 29-83); 45% male, 70% retired; 40% had secondary/high school education, or higher (32%), and 79% lived with family, a partner or spouse, or friends. The mean time from MDS diagnosis was 5 years (range:1-23). Most patients (87%) received previous transfusions and 49% had received a transfusion in the last 3 months. Mean EQ-5D index score was 0.78; patients reported at least some problem with mobility (45%), usual activities (40%), pain/discomfort (47%), and anxiety/depression (34%). Few patients had difficulty understanding the VAS (n = 3) and TTO (n = 4) exercises. Utility scores for TI were higher than for RT (0.84 vs. 0.77; p < 0.001) or TD (0.84 vs. 0.60; p < 0.001). Three patients rated TD worse than dead Corresponding VAS scale scores were 78 vs. 56; (p < 0.001), and 78 vs. 31 (p < 0.001), respectively. CONCLUSION: Patients value TI, suggesting an important role for new treatments aiming to achieve greater TI in MDS. These results can be used in preference-based health economic evaluation of new MDS treatments, such as in future cost-utility studies",Health Qual Life Outcomes. 2009 Sep 8;7:81,10.1186/1477-7525-7-81
6944,Psychometric properties of the Hungarian version of the eHealth Literacy Scale,"Adolescent; Adult; Age Factors; Aged; Aged, 80 and over; Consumer Health Information/methods; Cross-Sectional Studies; Electronic Health Records/statistics & numerical data; Female; Health Behavior; Health Knowledge, Attitudes, Practice; Health Literacy/statistics & numerical data; Humans; Hungary; Information Seeking Behavior; Male; Middle Aged; Psychometrics; Reproducibility of Results; Sex Factors; Socioeconomic Factors; Surveys and Questionnaires/standards; Telemedicine/statistics & numerical data; Young Adult; EQ-5D-5L; Hungary; Item-response theory; Validation; eHEALS; eHealth literacy","BACKGROUND: We adapted the eHealth Literacy Scale (eHEALS) for Hungary and tested its psychometric properties on a large representative online sample of the general population. METHODS: The Hungarian version of eHEALS was developed using forward-backward translation. For the valuation study, 1000 respondents were recruited in early 2019 from a large online panel by a survey company. We tested internal consistency, test-retest reliability and construct and criterion validity using classical test theory, as well as item characteristics using an item-response theory (IRT) graded response model (GRM). RESULTS: 55% of respondents were female, and 22.1% were ≥ 65 years old. Mean eHEALS score was 29.2 (SD: 5.18). Internal consistency was good (Cronbach's α = 0.90), and test-retest reliability was moderate (intraclass correlation r = 0.64). We identified a single-factor structure by exploratory factor analysis, explaining 85% of test variance. Essential criteria for GRM analysis were met. Items 3 and 4 (search of health resources) were the least difficult, followed by items 5 and 8 (utilisation of health information), and then items 1 and 2 (awareness of health resources). Items 6 and 7 (appraisal of health resources) were most difficult The measurement properties of eHEALS were not affected by gender, age, education or income levels. Female gender, older age, intensity of health information seeking, formal health education and visit at the electronic health-record website were associated with higher eHEALS scores, as well as best and worst self-perceived health states, BMI < 25 and participation at health screenings over the past year. CONCLUSIONS: The Hungarian eHEALS is a useful and valid tool for measuring subjective eHealth literacy",Eur J Health Econ. 2019 Jun;20(Suppl 1):57-69,10.1007/s10198-019-01062-1
7656,"Long-Term Clinical Performance of an Uncemented, Mobile Bearing, Anterior Stabilized Knee System and the Impact of Previous Knee Surgery","Arthroplasty, Replacement, Knee/methods; Follow-Up Studies; Humans; Knee Joint/surgery; Knee Prosthesis; Osteoarthritis, Knee/complications; Retrospective Studies; Treatment Outcome; mobile bearing; patient-reported outcome measures (PROM); survival; total knee arthroplasty (TKA); uncemented","BACKGROUND: The aim of this study is to report long-term survival and patient-reported outcome measures (PROMs) of the uncemented low contact stress total knee system and explore the potential association between prior knee surgery and outcomes. METHODS: A total of 1,289 procedures in 1,068 patients performed between 2000 and 2010 (mean follow-up 11.1 years) were retrospectively identified. All patients received an uncemented, mobile bearing, anterior stabilized (cruciate sacrificing) knee implant with a porous coating on the bone-prosthesis surface. Implant survival was calculated using competing risk analyses at 5, 10, and 15 years. PROMs include the Oxford Knee Score, Knee Society Score (domain function), EuroQol 5D-3L, and Numeric Rating Scale for pain during rest and activity, and for overall satisfaction. The association between previous surgery (no surgery versus meniscectomy versus arthroscopy versus corrective osteotomies) and implant survival was assessed with multivariable Cox proportional hazards analysis; the association with PROMs was assessed with multivariable linear regression analyses. RESULTS: Survival after 5, 10, and 15 years was 97.0% (95% CI 96.0-98.0), 96.3% (95% CI 95.3-97.3), and 96.0% (95% CI 94.8-97.2), respectively. The most common reason for revision was aseptic loosening of the tibial tray (23/49 revisions, 47%). All PROMs were comparable with the reference values of the Dutch Arthroplasty Register. History of knee surgery prior to TKA was not associated with survival or PROMs. CONCLUSION: The low contact stress uncemented mobile bearing knee implant provides excellent survival and patient satisfaction in our cohort. Previous surgery does not seem to compromise results in our population",J Arthroplasty. 2022 Oct;37(10):2041-2048,10.1016/j.arth.2022.04.039
11823,Development of a breast reconstruction satisfaction questionnaire (BRECON-31): principal components analysis and clinimetric properties,Age Factors; Body Image; Breast Diseases/pathology/psychology/surgery; Climacteric; Female; Humans; Mammaplasty/psychology; Middle Aged; Patient Satisfaction; Pilot Projects; Principal Component Analysis; Psychometrics; Reproducibility of Results; Self Concept; Surveys and Questionnaires,"BACKGROUND: A reliable, valid questionnaire is essential to assess patient satisfaction with breast reconstruction. METHODS: A 105-item pilot BRECON questionnaire was previously developed. One hundred eighty-one women with breast reconstruction were mailed the pilot BRECON, BREAST-Q, and EQ-5D questionnaires Fifty women were re-mailed the BRECON. Based on the responses, the BRECON was refined using statistical means and principal components analysis (PCA) Reliability was assessed using the intraclass correlation coefficient (ICC) and Cronbach's alpha. Validity was assessed by comparing subscales of the BRECON to the BREAST-Q and comparing a summary score of the BRECON-31 to the EQ-5D using the Pearson's correlation coefficient (PCC). RESULTS: A total of 71% (128/181) of women completed the three questionnaires, and 86% (43/50) of women responded to the re-mailed BRECON. Statistical methods and PCA maintained 31 items covering eight components including self-image, arm concerns, intimacy, satisfaction, recovery, self-consciousness, expectations, and breast appearance. A 4-item ""nipple"" subscale and a 10-item ""abdominal"" subscale were developed for use where applicable. Measures of reliability and validity were high: Cronbach's alpha ranged from 0.67 to 0.91, ICC ranged from 0.55 to 0.85, and PCC ranged from 0.42 to 0.76. CONCLUSIONS: A reliable, valid 31-item breast reconstruction satisfaction questionnaire was developed",J Surg Oncol. 2012 Dec;106(7):799-806,10.1002/jso.23114
9514,"Sugammadex, neostigmine and postoperative pulmonary complications: an international randomised feasibility and pilot trial",Atelectasis; Neostigmine; Neuromuscular blockade; Pneumonia; Sugammadex,"BACKGROUND: Sugammadex reduces residual neuromuscular blockade after anaesthesia, potentially preventing postoperative pulmonary complications. However, definitive evidence is lacking. We therefore conducted a feasibility and pilot trial for a large randomised controlled trial of sugammadex, neostigmine, and postoperative pulmonary complications. METHODS: Patients aged ≥40 years having elective or expedited abdominal or intrathoracic surgery were recruited in Australia and Hong Kong. Perioperative care was at the discretion of clinicians, except for the use of rocuronium and/or vecuronium for neuromuscular blockade and the randomised intervention (sugammadex or neostigmine) for reversal. Feasibility measurements included recruitment, crossover, acceptability, completeness, and workload. Trial coordinator feedback was systematically sought. Patient-reported quality of life was measured using the EQ-5D-5L score. The primary pilot outcome was the incidence of new pulmonary complications up to hospital discharge (or postoperative day 7 if still in hospital). RESULTS: Among 150 eligible patients, 120 consented to participate (recruitment rate 80%, 95% confidence interval [CI] 73 to 86%). The randomised intervention was administered without crossover to 115 of 117 patients who received reversal (98%, 95% CI 94 to 100%). The protocol was acceptable or highly acceptable to the anaesthetist in 108 of 116 cases (93%, 95% CI 87 to 97%; missing = 4). Four patients of the 120 patients were lost to follow-up at 3 months (3.3%, 95% CI 0.9 to 8.3%). Case report forms were complete at 3 months for all remaining patients. The median time to complete trial processes was 3.5 h (range 2.5-4.5 h). Trial coordinators reported no barriers to trial processes. Patients were aged 64 (standard deviation 11) years, 70 (58%) were male and 50 (42%) were female, and planned surgeries were thoracic (23 [19%]), upper abdominal (41 [34%]), and lower abdominal (56 [47%]). The primary outcome was observed in 5 (8.5%) of the 59 sugammadex patients and 5 (8.2%) of the 61 neostigmine patients (odds ratio 1.02, 95% CI 0.28 to 3.67). CONCLUSIONS: A large international randomised controlled trial of sugammadex, neostigmine and postoperative pulmonary complications in adult patients having abdominal and intrathoracic surgery, including collection of cost-effectiveness evidence for Health Technology Appraisal, is feasible. TRIAL REGISTRATION: Prospectively registered at the Australian and New Zealand Clinical Trials Registry ( ACTRN12620001313921 ) on December 7, 2020 www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=380645&isReview=true ",Pilot Feasibility Stud. 2021 Nov 9;7(1):200,10.1186/s40814-021-00942-9
9488,Validating Performance of a Hospital Discharge Planning Decision Tool in Community Hospitals,na,"PURPOSE OF STUDY: The Early Screen for Discharge Planning (ESDP) is a decision support tool developed in an urban academic medical center. High ESDP scores identify patients with nonroutine discharge plans who would benefit from early discharge planning intervention. We aimed to determine the predictive performance of the ESDP in a different practice setting. PRIMARY PRACTICE SETTING: Rural regional community hospital. METHODOLOGY AND SAMPLE: We designed a comparative, descriptive survey study and enrolled a convenience sample of 222 patients (identified at admission) who provided informed consent. Sample characteristics and ESDP scores were collected during enrollment. The Problems After Discharge Questionnaire, EuroQoL-5Dimensions quality-of-life measure, length of stay, and use of post-acute care services were recorded after discharge. We compared outcomes between patients with low and high ESDP scores. RESULTS: More than half of the sample (51.8%) had a high ESDP score. Patients with high ESDP scores reported more problems after discharge (p = .02), reported lower quality of life (p < .001), had longer length of stays (p = .04), and used post-acute care services (p = .006) more than patients with low ESDP scores. The difference in the average percentage of unmet needs was not statistically significant (p = .12), but patients with high ESDP scores reported more unmet needs than patients with low ESDP scores. IMPLICATIONS FOR CASE MANAGEMENT PRACTICE: The value of systematically proactive approaches to discharge planning is increasingly recognized, but establishing the performance capacity of support tools is critical for optimizing benefit. These study findings support use of the ESDP in regional community hospitals, making it a useful, open-source decision support tool for various health care delivery systems",Prof Case Manag. 2017 Sep/Oct;22(5):204-213,10.1097/NCM.0000000000000233
4815,Mapping WOMAC Onto the EQ-5D-5L Utility Index in Patients With Hip or Knee Osteoarthritis,"Aged; Aged, 80 and over; Arthralgia/diagnosis/physiopathology; Disability Evaluation; Female; Hip Joint/physiopathology; Humans; Knee Joint/physiopathology; Male; Middle Aged; Osteoarthritis, Hip/diagnosis/physiopathology/psychology; Osteoarthritis, Knee/diagnosis/physiopathology/psychology; Pain Measurement; Predictive Value of Tests; Prospective Studies; Quality of Life; Quality-Adjusted Life Years; Reproducibility of Results; Time Factors; EQ-5D; WOMAC; mapping; osteoarthritis; utility index","OBJECTIVES: To map the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) onto the EQ-5D-5L in patients with hip or knee osteoarthritis (OA) METHODS: A prospective observational study was conducted on 758 patients with hip or knee OA who completed the EQ-5D-5L and WOMAC questionnaires, of whom 644 completed them both again 6 months later. Baseline data were used to derive mapping functions. Generalized additive models were used to identify to which powers the WOMAC subscales should be raised to achieve a linear relationship with the response. For the modeling, general linear models (GLM), Tobit models, and beta regression models were used. Age, sex, and affected joints were also considered. Preferred models were selected based on Akaike and Bayesian information criteria, adjusted R(2), mean absolute error (MAE), and root mean squared error (RMSE). The functions were validated with the follow-up data using MAE, RMSE, and the intraclass correlation coefficient. RESULTS: The preferred models were a GLM with Pain(2)+Pain(3)+Function+Pain·Function as covariates and a beta model with Pain(3)+Function+Function(2)+Function(3) as covariates. The adjusted R(2) were similar (0.6190 and 0.6136, respectively). The predictive performance of these models in the validation sample was similar and both models showed an overprediction for health states worse than death. CONCLUSION: To our knowledge, these are the first functions mapping the WOMAC onto the EQ-5D-5L in patients with hip or knee OA. They showed an acceptable fit and precision and could be very useful for clinicians and researchers when cost-effectiveness studies are needed and generic preference-based health-related quality of life instruments to derive utilities are not available",Value Health. 2020 Mar;23(3):379-387,10.1016/j.jval.2019.09.2755
11863,Markov blanket-based approach for learning multi-dimensional Bayesian network classifiers: an application to predict the European Quality of Life-5 Dimensions (EQ-5D) from the 39-item Parkinson's Disease Questionnaire (PDQ-39),Bayes Theorem; Health Status; Humans; Markov Chains; Parkinson Disease; Quality of Life; Surveys and Questionnaires,"Multi-dimensional Bayesian network classifiers (MBCs) are probabilistic graphical models recently proposed to deal with multi-dimensional classification problems, where each instance in the data set has to be assigned to more than one class variable. In this paper, we propose a Markov blanket-based approach for learning MBCs from data. Basically, it consists of determining the Markov blanket around each class variable using the HITON algorithm, then specifying the directionality over the MBC subgraphs. Our approach is applied to the prediction problem of the European Quality of Life-5 Dimensions (EQ-5D) from the 39-item Parkinson's Disease Questionnaire (PDQ-39) in order to estimate the health-related quality of life of Parkinson's patients. Fivefold cross-validation experiments were carried out on randomly generated synthetic data sets, Yeast data set, as well as on a real-world Parkinson's disease data set containing 488 patients. The experimental study, including comparison with additional Bayesian network-based approaches, back propagation for multi-label learning, multi-label k-nearest neighbor, multinomial logistic regression, ordinary least squares, and censored least absolute deviations, shows encouraging results in terms of predictive accuracy as well as the identification of dependence relationships among class and feature variables",J Biomed Inform. 2012 Dec;45(6):1175-84,10.1016/j.jbi.2012.07.010
14656,"Individualized care, quality of life and satisfaction with nursing care","Cross-Sectional Studies; Decision Making; Female; Hospitalization; Humans; Male; Middle Aged; Patient Satisfaction; Quality of Life; Surgical Procedures, Operative/nursing/psychology; Surveys and Questionnaires","AIMS: This paper reports a study of the maintenance of individualized care from surgical patients' point of view and examines associations between individualized care, patient satisfaction with nursing care, and health-related quality of life Rationale. There is preliminary evidence that individualized care is effective from patients' point of view, and is associated with improved patient outcomes, such as patient satisfaction and quality of life. However, individualized care has mainly been studied from the vantage-point of nurses' experiences. METHODS: In this cross-sectional, descriptive, correlational study the data were collected with surgical adult patients (n = 279, response rate 93%) in surgical wards in Finland using self-administered questionnaires including the Individualized Care Scales, Patient-Satisfaction Scale, and Finnish versions of the Nottingham Health Profile and EuroQol 5D. Associations between individualized care, satisfaction with care and health-related quality of life were examined. Cronbach's alpha values and item analysis were used to evaluate the psychometric properties of the instruments, especially the Individualized Care Scales. RESULTS: The more often patients felt they received support for individuality through specific nursing interventions, the higher the individuality of care received. Secondly, the more individualized patients regarded their care, the higher the level of reported patient satisfaction with nursing care. However, the correlation between individualized care and health-related quality of life was fairly low, albeit statistically significant. CONCLUSION: Individualized care may produce positive outcomes, such as patient satisfaction. Further research is needed to explore individualized care in relation to health-related quality of life",J Adv Nurs. 2005 May;50(3):283-92,10.1111/j.1365-2648.2005.03391.x
